provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
openai,o3-mini-2025-01-31,100.0,100.0,99.0,97.5,100.0,99.5
openai,o3-2025-04-16,100.0,98.3,100.0,100.0,100.0,100.0
deepseek,deepseek-reasoner,98.0,99.0,98.0,94.5,97.0,96.5
openai,o4-mini-2025-04-16,96.0,92.0,91.7,85.8,92.5,95.0
google,gemini-2.5-pro-preview-03-25,95.0,92.0,88.5,92.5,96.0,97.3
google,gemini-2.5-flash-preview-04-17,87.0,61.0,54.0,58.0,59.0,66.0
