provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
openai,o3-2025-04-16,99.0,93.3,100.0,95.0,95.0,97.4
openai,o3-mini-2025-01-31,90.0,88.0,80.0,77.5,71.5,59.5
deepseek,deepseek-reasoner,82.0,23.0,9.5,12.0,8.0,13.5
google,gemini-2.5-pro-preview-03-25,49.0,9.0,2.0,1.0,0.0,0.0
openai,o4-mini-2025-04-16,29.0,22.0,19.2,29.2,43.3,49.5
google,gemini-2.5-flash-preview-04-17,24.0,1.0,0.0,0.0,0.0,0.0
