provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
google,gemini-2.0-flash-lite-001,70.0,25.0,7.0,0.0,0.0,0.0
google,gemini-2.0-flash-001,65.0,21.0,5.5,1.5,0.5,0.0
deepseek,deepseek-chat,39.0,1.0,0.0,0.0,0.0,0.0
openai,gpt-4.1-mini-2025-04-14,31.0,0.0,0.0,0.0,0.0,0.0
openai,gpt-4.1-2025-04-14,28.0,2.0,0.0,0.0,0.0,0.0
openai,gpt-4.1-nano-2025-04-14,9.0,0.0,0.0,0.0,0.0,0.0
