provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
deepseek,deepseek-reasoner,100.0,100.0,99.5,100.0,99.5,100.0
openai,o3-2025-04-16,100.0,100.0,95.0,95.0,100.0,99.0
openai,o3-mini-2025-01-31,100.0,99.0,85.0,83.5,79.0,79.5
google,gemini-2.5-pro-preview-03-25,99.0,100.0,97.0,94.5,98.7,96.7
openai,o4-mini-2025-04-16,99.0,97.0,85.8,80.8,80.0,86.5
google,gemini-2.5-flash-preview-04-17,96.0,85.0,75.0,68.5,59.5,67.5
