provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
google,gemini-2.0-flash-001,44.0,10.0,3.5,0.5,0.5,0.0
google,gemini-2.0-flash-lite-001,36.0,7.0,1.5,0.0,0.0,0.0
deepseek,deepseek-chat,25.0,0.0,0.0,0.0,0.0,0.0
openai,gpt-4.1-2025-04-14,20.0,1.0,0.0,0.0,0.0,0.0
openai,gpt-4.1-mini-2025-04-14,17.0,0.0,0.0,0.0,0.0,0.0
openai,gpt-4.1-nano-2025-04-14,2.0,0.0,0.0,0.0,0.0,0.0
