provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
openai,o3-2025-04-16,100.0,100.0,100.0,100.0,100.0,100.0
deepseek,deepseek-reasoner,99.0,93.0,87.5,75.0,57.0,64.5
openai,o4-mini-2025-04-16,97.0,98.0,96.7,86.7,90.8,93.0
google,gemini-2.5-pro-preview-03-25,95.0,97.0,95.5,90.5,85.3,82.7
openai,o3-mini-2025-01-31,88.0,81.0,71.0,64.0,51.5,37.0
google,gemini-2.5-flash-preview-04-17,85.0,73.0,66.0,61.0,46.5,47.0
